explicit,artists,key,genre,time_signature
0,460,2,13,5.0
0,410,1,8,4.0
1,1252,11,1,4.0
0,3291,5,7,4.0
0,3983,5,2,3.0
1,2542,9,1,4.0
0,646,2,3,4.0
0,2056,1,14,4.0
0,1316,1,9,4.0
1,2568,11,11,4.0
0,3611,7,12,3.0
0,4370,6,14,4.0
0,352,10,10,4.0
0,428,5,4,4.0
0,2486,2,18,4.0
0,3967,1,10,4.0
0,2606,6,10,4.0
1,2401,10,3,4.0
0,4123,8,2,4.0
0,1805,9,15,4.0
0,234,2,12,4.0
0,2056,1,14,4.0
0,3099,2,11,4.0
0,4262,1,14,4.0
0,2332,11,9,3.0
0,2909,4,4,4.0
0,188,11,5,4.0
0,407,0,7,4.0
0,171,9,12,4.0
0,3995,6,8,4.0
0,2049,4,14,4.0
0,2649,7,17,3.0
0,803,11,6,4.0
0,4343,0,2,4.0
0,3626,1,9,5.0
0,3365,10,6,3.0
0,2372,11,17,4.0
0,4417,4,9,5.0
0,2914,5,14,4.0
0,1525,7,3,4.0
0,1928,2,15,4.0
0,614,2,11,4.0
0,1350,9,11,4.0
0,2909,7,4,4.0
1,4108,2,1,4.0
0,2055,6,19,4.0
0,483,3,13,4.0
0,1395,7,18,4.0
0,2729,11,8,4.0
0,3979,6,0,4.0
0,3909,11,2,4.0
0,1377,10,5,4.0
0,1907,7,18,4.0
0,4059,7,3,4.0
0,2544,11,17,4.0
0,1090,3,1,5.0
0,2280,0,17,4.0
0,1416,8,2,4.0
0,3230,0,13,4.0
0,3995,0,8,4.0
0,1438,6,7,4.0
0,4327,0,14,4.0
0,1052,1,14,4.0
0,1979,9,18,3.0
0,501,8,14,4.0
0,3536,11,2,4.0
0,1859,1,15,4.0
0,1502,5,13,4.0
0,3583,3,14,4.0
0,2000,4,12,4.0
0,849,2,0,4.0
0,686,10,6,4.0
0,2859,2,19,4.0
0,2919,11,7,4.0
0,1925,11,18,4.0
0,4106,6,11,4.0
1,1711,11,19,4.0
0,4323,3,15,4.0
0,2524,4,0,3.0
0,4578,11,15,4.0
0,3359,7,10,4.0
0,1276,2,17,4.0
0,1820,10,15,4.0
0,1333,7,18,4.0
0,1667,8,6,4.0
0,3319,4,18,4.0
0,4142,7,5,4.0
0,3611,9,12,4.0
0,2053,0,7,4.0
0,1632,11,1,4.0
0,2877,8,19,4.0
0,2324,1,17,4.0
0,3821,7,6,3.0
0,3451,9,6,4.0
0,2956,8,14,4.0
0,157,3,17,4.0
1,4284,5,11,4.0
0,2463,9,12,3.0
0,219,2,3,4.0
0,3909,7,2,4.0
