name,duration_ms,explicit,popularity,artists,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Beaks of Eagles - Fulgeance Remix,262195.0,False,13.0,Kelpe,Fourth: The Golden Eagle Remixed,0.723,0.695,10.0,-9.602,0.0,0.0425,0.0512,0.638,0.336,0.583,99.965,4.0
Beaks of Eagles - Fulgeance Remix,262195.0,False,13.0,Kelpe,Fourth: The Golden Eagle Remixed,0.723,0.695,10.0,-9.602,0.0,0.0425,0.0512,0.638,0.336,0.583,99.965,4.0
For Those Tears I Died,181760.0,False,34.0,The Isaacs,The Living Years,0.422,0.117,11.0,-13.659,1.0,0.0315,0.901,0.0,0.0546,0.231,77.202,4.0
Acending,174748.0,False,57.0,So Jao,Acending,0.205,0.0406,5.0,-30.85,1.0,0.0462,0.97,0.979,0.143,0.0592,87.113,3.0
Filmes e Histórias,229053.0,False,46.0,Pablo,Um Novo Passo,0.649,0.567,1.0,-5.726,1.0,0.0314,0.316,0.0,0.397,0.635,131.91,4.0
Dignity,314183.0,False,2.0,Kahtmayan,Resurrection 1,0.602,0.954,6.0,-4.389,1.0,0.043,0.000487,0.000916,0.363,0.185,119.961,4.0
Dance Wit U,198930.0,False,19.0,CIRRRCLE,BESTY,0.763,0.623,10.0,-5.971,0.0,0.285,0.0653,0.0,0.0282,0.8,105.963,4.0
Falling Time,427973.0,False,6.0,Alphaxone,Dystopian Gate,0.106,0.233,1.0,-23.622,1.0,0.0391,0.843,0.876,0.141,0.0388,82.33,3.0
Stupid MF,144987.0,False,52.0,Mindless Self Indulgence,You'll Rebel To Anything (Expanded and Remastered),0.704,0.726,0.0,-5.05,0.0,0.128,0.00698,0.0151,0.167,0.726,151.972,4.0
與海無關 (《比悲傷更悲傷的故事》影集版插曲),245232.0,False,51.0,告五人,運氣來得若有似無,0.654,0.227,2.0,-12.619,1.0,0.0298,0.906,2.14e-05,0.091,0.373,78.155,4.0
Het barsten begint,82747.0,False,18.0,Germaine Franco,Encanto (Originele Nederlandstalige Soundtrack),0.198,0.483,1.0,-14.552,1.0,0.0506,0.831,0.927,0.0979,0.234,76.592,3.0
Helligdom Av Døde,377218.0,False,9.0,Khold,Svartsyn,0.468,0.661,2.0,-13.254,1.0,0.0406,7.77e-05,0.000738,0.0564,0.282,127.906,4.0
A System Of Mirrors,459389.0,False,7.0,Robert Hood,Mirror Man,0.685,0.697,10.0,-12.305,0.0,0.0373,8.41e-06,0.896,0.069,0.148,129.999,4.0
ラッキー7,194920.0,False,26.0,Flower,Hitomi No Oku No Milkyway,0.674,0.914,7.0,-3.311,1.0,0.0467,0.016,0.0,0.0402,0.778,93.003,4.0
Snart blir jeg majestet,171600.0,False,42.0,Eirik Espolin Johnson;Pernille Sommerfeldt;Anders Hatlo,The Lion King: Special Edition Original Soundtrack (Norwegian Version),0.629,0.753,6.0,-8.356,1.0,0.0753,0.261,9.5e-06,0.0898,0.843,98.887,4.0
Tell Me If Yuh Like It,186667.0,True,21.0,Vybz Kartel,Tell Me If Yuh Like It,0.65,0.739,4.0,-4.554,0.0,0.338,0.0423,0.0,0.075,0.331,114.966,5.0
Dull Boy,255320.0,False,32.0,Mudvayne,"By The People, For The People",0.598,0.953,2.0,-4.487,0.0,0.193,0.00148,2.3e-06,0.23,0.312,142.97,4.0
Atomic Ever After,183140.0,False,39.0,Kid Travis,Strawberry Skies,0.748,0.356,6.0,-13.473,1.0,0.176,0.205,0.0,0.0917,0.59,137.641,4.0
River of Grace,232653.0,False,48.0,Christy Nockels,Be Held : Lullabies for the Beloved,0.521,0.396,11.0,-10.654,1.0,0.0468,0.828,0.000766,0.1,0.398,77.046,4.0
Dooms Day,227056.0,False,8.0,Arsames,Immortal Identity,0.456,0.992,7.0,-3.817,0.0,0.139,7.98e-06,0.695,0.333,0.416,165.012,4.0
"Zicke Zacke, Prost ihr Säcke",170043.0,False,23.0,Jack Gelee,"Zicke Zacke, Prost ihr Säcke",0.71,0.998,8.0,-1.898,1.0,0.304,0.0221,0.0,0.529,0.712,140.089,4.0
Sick Of It All,221613.0,False,12.0,Nosferatu;Evil Activities,Strength,0.383,0.978,4.0,-5.595,0.0,0.0953,0.0827,0.0043,0.327,0.216,175.464,4.0
Aropador,240027.0,False,21.0,Plastilina Mosh,Juan Manuel,0.783,0.506,2.0,-14.552,1.0,0.0651,0.952,0.918,0.0676,0.397,117.147,4.0
The Sicarii,222880.0,False,18.0,Ninkharsag,Blood Of Celestial Kings,0.172,0.951,6.0,-5.127,0.0,0.101,0.0,0.886,0.115,0.197,119.428,4.0
