track_id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0adBXiFQyVirYKM4WbITR1,0.0423,0.65,186667,0.739,0,4,0.075,-4.554,0,0.338,114.966,5,0.331
6TZ9bryRYVFYrvmEtzAvDu,0.00148,0.598,255320,0.953,2.3e-06,2,0.23,-4.487,0,0.193,142.97,4,0.312
1n4uibGrRI6HxVXlDFF30Y,0.205,0.748,183140,0.356,0,6,0.0917,-13.473,1,0.176,137.641,4,0.59
46kZhvM2ms6pIXP8Mc04Tr,0.828,0.521,232653,0.396,0.000766,11,0.1,-10.654,1,0.0468,77.046,4,0.398
0bq8T0Drwu9bRjDeJKaidx,7.98e-06,0.456,227056,0.992,0.695,7,0.333,-3.817,0,0.139,165.012,4,0.416
5wZ7Hw40wC04N0k4NDlgBC,0.0221,0.71,170043,0.998,0,8,0.529,-1.898,1,0.304,140.089,4,0.712
4N5k7XuQ6waV84W0Zk7ia3,0.0827,0.383,221613,0.978,0.0043,4,0.327,-5.595,0,0.0953,175.464,4,0.216
6GgeQ4ZB0Y8hS0ngdWzahy,0.952,0.783,240027,0.506,0.918,2,0.0676,-14.552,1,0.0651,117.147,4,0.397
68o1x8lzfq8PA4IjlAUn9K,0,0.172,222880,0.951,0.886,6,0.115,-5.127,0,0.101,119.428,4,0.197
0aVeKK8ga19q70Q1T5RY3r,0.181,0.599,238229,0.976,0.00197,4,0.303,-4.478,0,0.144,100.023,4,0.259
7zQqLegPosxGECgeN0oRXG,0.29,0.763,113684,0.368,0.861,5,0.102,-13.875,0,0.0892,75.993,4,0.665
5e4GiEVitMmK06oXYvrZ63,0.000746,0.611,264768,0.681,0.68,9,0.133,-5.608,0,0.184,173.968,4,0.439
2mzUlG9dHLcSj2FiNvpEud,0.24,0.342,222107,0.442,0.00412,7,0.107,-7.312,1,0.0294,88.496,4,0.195
1WEToeRWLqfsufm2ZpMiij,0.000821,0.597,98385,0.928,0.798,3,0.308,-8.626,0,0.034,139.084,4,0.843
00ake6KfnzbZ2MaRLGqsyX,0.586,0.271,277500,0.726,0,7,0.353,-6.504,1,0.0527,87.425,4,0.532
4B6dNM6N7sXGJygo2kufWA,0.0138,0.459,274467,0.856,1.3e-06,8,0.0261,-4.676,1,0.0491,168.171,4,0.645
1w5q96YIMr4yqQgYuQsMbC,8.81e-06,0.107,339743,0.966,0.603,9,0.612,-5.328,1,0.0845,156.655,4,0.141
35gkjAc0O2GsQI9R3ct4xL,0.218,0.763,210088,0.858,0.873,0,0.103,-5.413,0,0.0496,101.982,4,0.284
49BVYndXvek1joQZSXzPry,0.472,0.616,189435,0.314,0.0999,6,0.112,-11.98,1,0.0426,104.026,4,0.0924
2qLqfjB96rV5SMgp91PcXR,0.000528,0.323,307933,0.902,0.00663,9,0.161,-6.034,1,0.11,147.309,4,0.407
1OBOW5jFnqpieVQFsxu2P9,0.096,0.7,235625,0.899,1.38e-05,1,0.327,-8.262,1,0.117,109.994,4,0.674
5KnhppqnOUy4ZyVwN8Ocqw,0.0101,0.285,268378,0.867,0.000269,10,0.0887,-3.65,0,0.0465,173.818,4,0.0378
7tlw2BnFAfaq10wMmrRzWo,0.00108,0.866,155653,0.574,0.443,7,0.0406,-7.836,1,0.0649,127.951,4,0.602
0K0oGB3LEiehwaRIhBFLTf,0.00696,0.263,196960,0.767,0.478,7,0.356,-10.161,1,0.0525,125.995,4,0.308
2PIikRr4ATY2iTlUbRJglP,0.000248,0.471,171789,0.731,0.731,1,0.195,-6.222,1,0.0921,94.511,4,0.667
70RLwSIBClxedybDYa2XWy,0.000697,0.0658,243627,0.993,0.217,9,0.317,-2.484,1,0.164,199.986,4,0.107
2RMlLJHFAYEVVaLVY1YcqW,0.000302,0.641,288331,0.858,0.000807,11,0.219,-7.024,1,0.0946,92.502,4,0.377
3XkxqcNTlxK2dKnJ9NjVQL,0.995,0.737,127759,0.0292,0.971,9,0.0863,-31.514,0,0.0617,95.036,4,0.185
00Qv5EGE9Mveie08d6ilXR,0.00223,0.638,400733,0.962,0.716,7,0.309,-8.468,1,0.0541,119.081,4,0.562
3hhq0bgUAFOVpU8UTRAOSv,0.443,0.604,194667,0.827,2.46e-06,7,0.201,-6.99,1,0.155,172.065,4,0.315
6mPet122yXpp6X8iTiNVo9,0.131,0.603,270938,0.783,4.16e-05,6,0.234,-6.012,1,0.0486,127.981,4,0.703
10hKTZyq2N6iSULhpZXrDd,0.181,0.721,153127,0.949,0,1,0.646,0.402,1,0.31,155.015,4,0.705
3rkesmzecZXrKZ7HA68OKZ,0.959,0.507,247434,0.343,0.93,10,0.102,-20.092,0,0.0405,154.096,4,0.45
38vAr5wN14SXSGprdEtNLN,0.128,0.318,282840,0.645,0,0,0.0825,-10.555,1,0.0536,74.127,4,0.483
2RT9iiOOoqEWiGIaBRLVkL,1.04e-05,0.728,759400,0.797,0.756,0,0.626,-9.004,0,0.036,128.025,4,0.661
113Kid29MwKNKzglKynVYB,0.00494,0.59,334880,0.998,0.915,4,0.373,-2.613,1,0.0672,139.911,4,0.0877
2hAoZ8jEe8UNWZL2iaVgc1,0.107,0.56,279800,0.886,0.833,9,0.0795,-8.416,0,0.0456,120.005,4,0.964
0QpaT9XONsybItcUX7zogF,0.773,0.735,175177,0.509,0.0484,5,0.0948,-8.174,0,0.0684,137.068,4,0.32
0ejkH1rRBWfVWw52wNt6qq,0.778,0.598,126000,0.336,0.942,9,0.103,-11.992,1,0.0769,90.156,4,0.0386
5CiL62jzro1y8xsX3EnVdc,0.828,0.316,389800,0.48,0.817,7,0.0685,-14.772,0,0.0559,89.008,4,0.269
35fynkU1inCApWDFmlN7uF,0.75,0.773,178678,0.8,0,4,0.122,-3.929,1,0.0389,131.948,4,0.792
1XFPLIKOl82LuDVJRLQ9Sv,0.767,0.34,50640,0.332,0.635,6,0.112,-17.576,1,0.0597,81.286,3,0.139
2jZmhQhsSRqqsZmMMedVeo,0.0002,0.673,272382,0.984,0.898,5,0.0887,-1.414,0,0.288,99.998,4,0.105
1xYPMWVdl2yqOkQpjWPVbU,0.406,0.661,260200,0.572,0,0,0.111,-5.665,1,0.0246,131.954,4,0.186
4RbjlqzGc5piUTTr32XMlv,0.552,0.767,236467,0.671,3.23e-05,5,0.201,-9.995,1,0.0317,135.468,4,0.921
3xArlyFGlFLjPCSivTD6ce,0.232,0.243,215120,0.567,0,9,0.319,-8.019,1,0.0352,93.458,4,0.245
4VJ4ICILSWTDuWlBdsyTHT,0.437,0.628,207493,0.663,0,5,0.527,-6.267,1,0.0298,132.009,4,0.606
3WwLC6FZsy3DeXOxBIxnep,0.0874,0.717,276240,0.822,0,8,0.116,-4.765,1,0.0334,92.998,4,0.901
3kTFElpN5xHxwLRqDsd2Po,0.629,0.498,216640,0.479,0.000884,5,0.229,-7.251,1,0.0251,109.092,4,0.281
0Tmdi0hpHXBQb6AJSKwbBl,0.00254,0.418,277245,0.814,0.000888,9,0.472,-7.179,0,0.0693,128.105,4,0.308
4bjb0FlAv0LS2agVDxW9eN,0.839,0.4,290000,0.415,0.362,7,0.111,-13.288,0,0.16,88.553,1,0.0383
2j2WyrT9VmJFOuOGIs2cIg,0.677,0.396,140750,0.217,0.794,9,0.176,-12.465,0,0.0415,84.658,4,0.107
65mHBUQvgwRbHcPojHjWq4,7.45e-06,0.529,200914,0.866,0.936,1,0.152,-3.226,1,0.0503,174.996,4,0.739
0B2GWovtxzsh0a02PBbNl7,0.00487,0.684,521402,0.604,0.887,11,0.0456,-9.088,0,0.0471,123.0,4,0.364
42Rzf70H0cM88EDU5YV0cq,0.884,0.144,185920,0.0158,0.834,10,0.106,-34.45,1,0.0424,67.858,3,0.209
572TlE4Kffv9f5dfnN4g4g,0.991,0.625,163724,0.0464,0.946,11,0.147,-20.287,0,0.115,120.912,3,0.455
1zr8gucSalWOACeVRFQ9qm,0.645,0.668,236733,0.516,0,11,0.0987,-9.196,1,0.0726,89.252,4,0.858
1k9PXkj82QlXacWUptk1Aa,0.153,0.806,442627,0.615,0.775,9,0.102,-8.129,0,0.0928,122.064,3,0.499
4emkRDCqnJ2TtVs2u5qp0i,0.0064,0.572,203027,0.988,0.315,0,0.419,-5.352,1,0.0499,158.917,4,0.656
4NtaQSiRgkQ2Af8GSW0B0t,0.257,0.71,329247,0.845,0,11,0.192,-6.878,0,0.111,98.016,4,0.846
1eqeDeOm0TsjS3j3vlSan2,0.0426,0.534,219925,0.592,0.0385,0,0.0957,-8.56,1,0.0352,88.012,4,0.202
75E9rA8ig6UmsJjRsK7r48,0.000207,0.433,305625,0.99,0.831,11,0.123,-3.224,1,0.326,173.0,4,0.123
0yPij2haLTGO72QdyXh8mu,0.217,0.743,160820,0.535,3.13e-06,7,0.119,-5.016,1,0.284,100.308,4,0.529
2JLenxeFclrYr9opG2mAjZ,0.054,0.717,220640,0.557,0.0227,11,0.0982,-8.503,0,0.0365,114.023,4,0.213
2bk0AuqjYp7giuIOuD6G2W,0.0587,0.504,332696,0.769,0.00255,7,0.207,-9.082,1,0.129,118.562,4,0.579
6o5Lv9i5JCIny86rbC4FPd,0.0358,0.671,277417,0.95,1.97e-06,11,0.366,-3.39,1,0.104,139.986,4,0.6
191N9EutKkjp93Dcn5zWgX,0.892,0.743,271560,0.336,0.00348,6,0.0983,-14.684,1,0.0301,112.305,3,0.439
1Va8zr9VQK56Ka8Z2ODdNP,0.864,0.0653,343226,0.0717,0.952,11,0.0782,-23.288,1,0.0389,71.728,4,0.033
3LZVc37cIFzRUowh9vlnmi,0.052,0.481,290760,0.698,0.252,9,0.107,-6.992,0,0.118,163.242,4,0.211
3dwL80oiNV7KBbihAgcmRZ,0.97,0.673,140573,0.183,0.88,10,0.137,-16.714,1,0.0432,79.295,4,0.597
7tuHBStck3zEa0vpcNGtiB,0.181,0.457,252947,0.957,4.3e-05,2,0.218,-2.021,1,0.0449,164.892,4,0.678
6sdird6R3Bl7KXbCXpnPVy,0.855,0.622,191770,0.318,0.00102,6,0.117,-16.183,1,0.0268,124.938,3,0.508
7pWAX5kJBULFTDNiH8oB42,0.943,0.508,224601,0.0901,0.000875,7,0.18,-22.456,1,0.0295,70.198,4,0.11
617OBG0RevNKiTGokVqhmt,0.0186,0.605,246227,0.732,1.65e-06,7,0.051,-6.681,1,0.0737,178.022,4,0.793
3exoPpEA6dsPy7EL9ogyvZ,0.626,0.255,441680,0.148,2.89e-06,5,0.989,-13.001,1,0.0361,117.479,4,0.0809
5h7RBt7uQCF788tr9Zy92j,0.00195,0.607,242800,0.775,1.15e-06,6,0.0915,-5.427,1,0.267,102.051,4,0.736
5kWMV8yuPP6zSdz4MZhjVh,0.728,0.603,269816,0.743,4.22e-05,9,0.103,-7.013,1,0.0553,100.021,4,0.341
01ugCZkdpZ6eYWT7AnhI54,0.553,0.772,179739,0.558,5e-06,4,0.196,-6.859,1,0.0309,115.013,4,0.527
5QkUh3JKMlKETQEdz4RjAs,0.0856,0.694,262000,0.731,2.8e-05,4,0.305,-5.111,0,0.0411,125.769,4,0.62
4aa9D0k5Kgkjmn8HZqtGA0,0.995,0.37,66720,0.0323,0.878,9,0.0838,-19.907,1,0.0575,113.491,1,0.0736
4WCywozuuSXGl3CscRHVD5,0.127,0.246,896446,0.84,0,0,0.222,-4.713,1,0.0591,136.73,4,0.14
50khO0Eyt5WqIN8D51ieJn,0.307,0.614,197278,0.394,0,5,0.128,-11.954,1,0.0447,139.952,4,0.296
4czheLDZlGJuCt0Tt6e8IC,0.957,0.723,141297,0.287,0.825,0,0.102,-12.613,1,0.0783,76.011,4,0.253
0lSwLhBarLwM5XTFmBc8ri,0.00332,0.62,239093,0.9,0,7,0.0118,-4.158,1,0.0365,129.999,4,0.706
5tJH06jpoUrgHk493Ef3ZQ,0.14,0.583,250909,0.855,0.165,7,0.113,-7.594,1,0.0438,99.023,3,0.535
