consequent,antecedent,abs_support,%_support,confidence,lift
veryLowSpeechiness,"('longDuration', 'Major', 'notExplicit')",2956,19.706666666666667,0.9286836317939051,1.0239822461708745
notExplicit,"('veryLongDuration',)",6339,42.26,0.9576975373923553,1.023618573527528
notExplicit,"('unpopular', 'Major')",3808,25.38666666666667,0.9575056575308021,1.023413486031212
veryLowSpeechiness,"('highDanceability', 'Major', 'notExplicit')",3586,23.906666666666666,0.9280538302277432,1.0232878163346184
veryLowSpeechiness,"('veryHighEnergy', 'Major', 'notExplicit')",3494,23.293333333333333,0.9277748274030801,1.0229801831113057
notExplicit,"(nan, 'Major', 'veryLowSpeechiness')",3203,21.35333333333333,0.9566905615292712,1.0225422846614698
veryLowSpeechiness,"('veryLowInstrumentalness', 'veryLowLiveness')",3248,21.653333333333332,0.9269406392694064,1.0220603931961993
veryLowSpeechiness,"('notExplicit',)",13006,86.70666666666666,0.9267493230725381,1.0218494447286146
notExplicit,"('veryLowSpeechiness',)",13006,86.70666666666666,0.9560423404880918,1.0218494447286146
veryLowSpeechiness,"('veryLowAcousticness', 'veryLowLiveness', 'Major')",3220,21.46666666666667,0.9263521288837745,1.0214114917124828
veryLowSpeechiness,"('moderateDanceability',)",4760,31.733333333333334,0.9253499222395023,1.020306441751877
veryLowSpeechiness,"('unpopular', 'notExplicit')",4541,30.273333333333337,0.9252241238793806,1.020167734356859
notExplicit,"('highEnergy', 'veryLowSpeechiness')",3101,20.673333333333332,0.9544475223145583,1.0201448506996134
veryLowSpeechiness,"('veryUnpopular', 'veryLowAcousticness', 'notExplicit')",3398,22.653333333333332,0.924877517691889,1.0197855605247232
Major,"('longDuration', 'veryLowSpeechiness', 'notExplicit')",2956,19.706666666666667,0.7552376085845682,1.0195809673988412
notExplicit,"('veryUnpopular', 'veryLongDuration')",2943,19.62,0.9533527696793003,1.0189747431373453
veryLowSpeechiness,"('veryLowLiveness', 'Major')",6697,44.64666666666667,0.9239790286975718,1.0187948713954407
veryLowSpeechiness,"('veryHighEnergy', 'veryLowLiveness')",2775,18.5,0.9237683089214381,1.0185625282138762
veryLowSpeechiness,"('highDanceability', 'notExplicit')",4960,33.06666666666666,0.9231341894658478,1.0178633373998616
veryLowSpeechiness,"('veryUnpopular', 'Major', 'notExplicit')",3951,26.340000000000003,0.9231308411214953,1.0178596454588673
notExplicit,"('veryUnpopular', 'veryLowSpeechiness')",5459,36.39333333333333,0.9522065236350951,1.0177495977288318
Major,"('veryLowInstrumentalness', 'veryLowLiveness', 'veryLowSpeechiness', 'notExplicit')",2318,15.453333333333333,0.7538211382113821,1.0176687132724986
veryLowSpeechiness,"('longDuration', 'notExplicit')",3914,26.093333333333334,0.9228955435038906,1.0176002023344868
veryLowSpeechiness,"('veryLowAcousticness', 'veryLowLiveness')",4507,30.046666666666667,0.9228091728091729,1.0175049685487791
veryLowSpeechiness,"('veryLowInstrumentalness', 'Major')",3884,25.893333333333334,0.9225653206650831,1.0172360930591184
veryLowSpeechiness,"('veryHighEnergy', 'veryLowAcousticness')",4346,28.973333333333333,0.9225217575886224,1.0171880596757819
notExplicit,"('moderateDanceability', 'veryLowLiveness')",2971,19.80666666666667,0.9516335682254965,1.017137204174323
notExplicit,"('veryUnpopular', 'Major', 'veryLowSpeechiness')",3951,26.340000000000003,0.951131439576312,1.0166005125869089
notExplicit,"(nan, 'veryLowSpeechiness')",4070,27.133333333333333,0.9504904250350303,1.0159153751977665
veryLowSpeechiness,"('veryUnpopular', 'notExplicit')",5459,36.39333333333333,0.9211947350658117,1.0157248622454553
veryLowSpeechiness,"('veryHighEnergy', 'veryLowAcousticness', 'Major')",3136,20.906666666666666,0.9209985315712188,1.0155085249609146
notExplicit,"('longDuration', 'Major', 'veryLowSpeechiness')",2956,19.706666666666667,0.9498714652956298,1.015253810705034
veryLowSpeechiness,"('unpopular', 'veryLowLiveness')",2981,19.873333333333335,0.9206300185299567,1.0151021962620812
Major,"('veryLowInstrumentalness', 'veryLowLiveness', 'notExplicit')",2461,16.406666666666666,0.7519095630919646,1.0150880610547628
notExplicit,"('unpopular',)",4908,32.72,0.9496904024767802,1.0150602848191324
Major,"('lowLiveness', 'veryLowSpeechiness')",2302,15.346666666666668,0.751796211626388,1.0149350350459743
Major,"('longDuration', 'veryLowSpeechiness')",3112,20.746666666666666,0.7516908212560387,1.0147927566232184
veryLowSpeechiness,"('veryLowInstrumentalness', 'veryLowAcousticness')",3060,20.4,0.9203007518796993,1.0147391412963458
veryLowSpeechiness,"('veryLowInstrumentalness',)",5218,34.78666666666667,0.9201199083054135,1.014539740119171
